datab	pathwaysNames	netSize	subnetSize	subnetScore	pvalues	geneListEntrez	group	qvalues
reactome	3' -UTR-mediated translational regulation	87	25	1.68402941171681	0.661442006269592	11224;1977;23521;26986;51121;6122;6128;6132;6134;6135;6138;6154;6155;6158;6159;6164;6168;6169;6187;6189;6206;6231;6235;8664;8667	1	NA
reactome	Abacavir transport and metabolism	0	NA	NA	NA		NA	NA
reactome	ABC-family proteins mediated transport	0	NA	NA	NA		NA	NA
reactome	ABC transporters in lipid homeostasis	0	NA	NA	NA		NA	NA
reactome	Abortive elongation of HIV-1 transcript in the absence of Tat	21	4	1.46829147650348	NA	2962;2963;51497;9150	NA	NA
reactome	Acetylcholine Binding And Downstream Events	12	4	1.42901580393772	0.779519331243469	1139;1143;1145;55584	2	NA
reactome	Acetylcholine Neurotransmitter Release Cycle	15	4	2.35276878542079	0.411099691675231	6572;6857;8499;8500	3	NA
reactome	Acetylcholine regulates insulin secretion	0	NA	NA	NA		NA	NA
reactome	Activated NOTCH1 Transmits Signal to the Nucleus	26	4	2.17881852311911	0.394413407821229	28514;4851;54492;7316	4	0.795347011931996
reactome	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	46	4	2.50897786454605	0.341212744090442	128312;23081;367;8365	5	NA
reactome	Activated point mutants of FGFR2	16	4	2.65464480369239	0.143437077131258	2246;2254;2255;2263	6	0.673583109744961
reactome	activated TAK1 mediates p38 MAPK activation	17	4	1.84532666842374	0.582027168234065	10454;1432;5608;6885	7	NA
reactome	Activated TLR4 signalling	111	46	1.93546474959952	0.395128552097429	100302736;10333;10454;11035;11213;1147;1385;1432;148022;1660;1846;1848;23118;29110;3146;330;351;3551;3654;3725;4208;466;4790;5516;5518;5519;5594;5595;5598;5602;5606;57162;5781;6195;6197;6416;7098;7316;7321;7322;841;8651;8737;8772;8945;9252	8	NA
reactome	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	64	10	2.16406684195635	0.504624871531346	10393;51433;5688;5690;5693;5698;5704;7316;8900;9491	9	NA
reactome	Activation of ATR in response to replication stress	36	5	2.61683138082336	0.212121212121212	4998;5001;6119;63967;84126	10	NA
reactome	Activation of BAD and translocation to mitochondria	14	4	1.66516780468476	0.525033829499323	10971;5534;7531;7534	11	0.853958374560489
reactome	Activation of BH3-only proteins	14	4	1.66516780468476	0.525033829499323	10971;5534;7531;7534	11	0.853958374560489
reactome	Activation of Ca-permeable Kainate Receptor	12	4	2.54095528209832	0.241379310344828	2898;2899;2900;83988	12	NA
reactome	Activation of DNA fragmentation factor	13	4	2.9715663579316	0.122905027932961	3007;3008;3024;3146	13	0.673583109744961
reactome	Activation of GABAB receptors	37	4	2.60657446244208	0.21340782122905	2782;2788;3759;3773	14	NA
reactome	Activation of gene expression by SREBF (SREBP)	41	11	2.94924634769779	0.0866035182679296	10654;1387;2222;4800;5465;57678;6604;6907;79718;80205;9453	15	0.673583109744961
reactome	Activation of G protein gated Potassium channels	23	4	2.60657446244208	0.295991778006166	2782;2788;3759;3773	14	NA
reactome	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	16	4	1.70745210428003	0.710174717368962	23643;5781;7187;7316	16	0.90836927309315
reactome	Activation of Kainate Receptors upon glutamate binding	29	5	3.05016965048755	0.105027932960894	23236;2782;2898;2899;2900	12	0.673583109744961
reactome	Activation of Matrix Metalloproteinases	28	4	1.52568506442394	0.602165087956698	10893;4325;5045;7077	17	0.874206587631742
reactome	Activation of NF-kappaB in B cells	60	5	3.19475465513317	0.0637408568443051	23291;3551;4790;5690;6885	18	NA
reactome	Activation of Nicotinic Acetylcholine Receptors	12	4	1.47985410989827	0.752351097178683	1135;1139;1143;1145	2	NA
reactome	Activation of NMDA receptor upon glutamate binding and postsynaptic events	36	4	3.47953392067761	0.0402234636871508	2890;2904;4747;817	19	0.673583109744961
reactome	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	10	4	2.12198195148832	0.420111731843575	10891;1432;51422;53632	20	0.806464137911474
reactome	Activation of Rac	14	4	2.52910024816208	0.395789473684211	5063;56924;57144;6091	21	NA
reactome	Activation of SMO	18	4	1.91449567442164	0.527374301675978	132884;1452;2622;6608	22	0.853958374560489
reactome	Activation of the AP-1 family of transcription factors	10	4	1.32414591688641	0.687415426251691	2353;3725;5594;5602	23	0.899941657964272
reactome	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	47	7	2.04698913082495	0.62	1977;26986;6189;6228;6231;8665;8667	24	NA
reactome	Activation of the phototransduction cascade	0	NA	NA	NA		NA	NA
reactome	Activation of the pre-replicative complex	29	4	1.9790465750586	0.65578947368421	4998;5001;5422;6119	10	NA
reactome	Acyl chain remodelling of PC	17	4	2.70684047295003	0.179728317659352	10162;255189;5321;79887	25	NA
reactome	Acyl chain remodelling of PE	16	4	3.07972563835325	NA	154141;255189;5321;79887	NA	NA
reactome	Acyl chain remodelling of PG	11	4	1.96479678800864	0.515151515151515	255189;5321;79888;9926	25	NA
reactome	Acyl chain remodelling of PS	11	4	2.71996357128337	0.174503657262278	10162;154141;255189;5321	25	0.741434067940681
reactome	Adaptive Immune System	0	NA	NA	NA		NA	NA
reactome	Adenylate cyclase activating pathway	10	4	2.02760944066154	NA	108;112;114;2774	NA	NA
reactome	Adenylate cyclase inhibitory pathway	14	4	2.07652178482285	0.45141065830721	108;114;2770;2774	26	NA
reactome	Adherens junctions interactions	21	4	3.58561774858567	0.0335195530726257	1000;1002;1007;1499	27	NA
reactome	ADP signalling through P2Y purinoceptor 1	21	5	3.19442322242931	0.0637408568443051	1432;2782;2788;5321;9630	14	NA
reactome	ADP signalling through P2Y purinoceptor 12	19	4	2.22223838180808	0.480986639260021	10681;2782;2788;346562	14	NA
reactome	Adrenaline,noradrenaline inhibits insulin secretion	25	4	2.84990134895222	0.134796238244514	2782;2788;775;776	14	NA
reactome	Advanced glycosylation endproduct receptor signaling	10	4	2.75073149230368	0.165099268547544	3146;351;5594;6285	28	NA
reactome	Aflatoxin activation and detoxification	15	4	1.36992983861052	0.669824086603518	1553;1576;1577;4258	29	NA
reactome	AKT phosphorylates targets in the cytosol	13	4	2.05325038379899	0.342354533152909	10000;1026;4193;7249	30	0.771304718492403
reactome	alpha-linolenic acid (ALA) metabolism	13	4	2.60892817857153	0.161028416779432	2180;3992;60481;9415	31	0.724903889519354
reactome	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	13	4	2.60892817857153	0.161028416779432	2180;3992;60481;9415	31	0.724903889519354
reactome	Amine-derived hormones	0	NA	NA	NA		NA	NA
reactome	Amino acid and derivative metabolism	165	57	1.1509827611807	0.771312584573748	10166;10295;10841;125061;1373;143471;169355;191;219595;23198;262;26227;27165;2729;2744;2746;2752;2805;29968;3028;3176;383;4143;435;445;4942;4953;501;5053;51074;51166;51582;549;55217;55256;55748;56267;5683;5688;5690;5691;56922;5696;5709;5711;5715;5717;58478;593;635;6898;84245;85007;8564;883;89874;9491	32	0.924307384024173
reactome	Amino acid and oligopeptide SLC transporters	46	8	3.10310124696842	0.0663058186738836	140679;153201;206358;6505;6509;6541;6542;9056	33	0.673583109744961
reactome	Amino acid synthesis and interconversion (transamination)	21	4	1.41472399285624	0.650879566982409	2746;2806;4942;84706	34	0.899941657964272
reactome	Amino acid transport across the plasma membrane	28	5	2.59475503394575	0.165087956698241	206358;6509;6541;6542;9056	33	NA
reactome	Amyloid formation	41	4	2.425942324526	0.276907001044932	128312;325;3339;8365	5	NA
reactome	Anchoring of the basal body to the plasma membrane	84	30	2.31357329427224	0.490526315789474	10142;11064;11116;11190;1453;1778;1781;22832;22919;23322;26005;347240;4218;4735;5108;51134;51259;55142;55722;55755;5577;57545;57787;7840;80254;85302;8766;9657;9793;9814	35	0.849081071890269
reactome	Androgen biosynthesis	10	4	0.960599098559031	NA	1081;3283;3284;79644	NA	NA
reactome	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	24	4	2.45727173834609	0.26927374301676	2885;30011;6464;6654	36	NA
reactome	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	22	4	1.62591398300744	0.744090441932169	10427;10484;9632;9871	37	NA
reactome	Antigen processing-Cross presentation	53	4	2.63216752813269	0.204806687565308	5690;5698;7316;9491	9	NA
reactome	Antigen processing: Ubiquitination & Proteasome degradation	206	105	1.50957677523752	0.720670391061452	10075;10193;10197;10393;10489;10616;115290;118424;127247;136371;140458;140460;140739;142686;142689;197131;22888;22954;23198;23291;23295;23304;23327;23352;23376;23608;25831;25847;25898;26046;26118;26259;26273;27338;401036;4734;5071;51343;51444;51465;51676;54778;55070;55182;55236;55294;55585;56658;5682;5683;5685;5686;5687;5688;5690;5693;5695;5698;5704;5713;5714;5716;5717;57630;6047;6049;64750;6500;6502;7314;7316;7322;7323;7325;7326;7327;7328;7335;7428;79654;79876;80176;8065;8139;84231;8452;84676;8651;868;8697;8924;89910;9021;90293;9039;90933;92591;9320;9491;9604;9861;9867;991;996;997	38	0.90836927309315
reactome	Antiviral mechanism by IFN-stimulated genes	0	NA	NA	NA		NA	NA
reactome	APC/C:Cdc20 mediated degradation of Cyclin B	18	4	1.30387149722846	0.903157894736842	10393;51433;7316;891	39	NA
reactome	APC/C:Cdc20 mediated degradation of mitotic proteins	64	21	1.36985086700487	0.840698869475848	10197;10213;143471;23198;246184;51433;5686;5688;5690;5693;5698;5704;5713;5719;701;7314;7316;7324;8881;8900;9861	40	NA
reactome	APC/C:Cdc20 mediated degradation of Securin	56	11	2.18345225564693	0.492291880781089	10197;143471;5686;5690;5693;5698;5719;7314;7316;7324;9491	40	0.849081071890269
reactome	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	60	5	2.59002524178023	0.301130524152107	51343;5690;5698;7316;9491	9	NA
reactome	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	62	4	2.54089751797402	0.324768756423433	51433;5690;5693;701	41	0.761248686076473
reactome	APC-Cdc20 mediated degradation of Nek2A	20	4	1.58020708801789	0.813684210526316	10393;51433;701;7316	39	NA
reactome	APC/C-mediated degradation of cell cycle proteins	74	14	1.86410457846665	0.635149023638232	10393;143471;23198;26271;5686;5690;5695;5698;5709;701;7316;7324;8454;890	40	NA
reactome	Apoptosis	147	62	2.02290542336316	0.353179972936401	10197;10213;10971;1499;1612;1613;1677;207;219699;23198;23604;26060;2620;3007;3008;3009;3024;3146;355;356;4000;4001;4836;5062;5339;5366;54205;5580;5686;5689;5691;5693;5704;5707;5719;572;578;596;6304;637;63967;660;6709;7157;7311;7316;7431;7531;79658;836;839;840;841;842;8737;8837;90249;90427;9491;9500;9861;999	42	NA
reactome	Apoptosis induced DNA fragmentation	13	4	2.9715663579316	0.122905027932961	3007;3008;3024;3146	13	0.673583109744961
reactome	Apoptotic cleavage of cellular proteins	32	4	3.2424426077403	0.047361299052774	6304;7431;836;839	43	0.673583109744961
reactome	Apoptotic execution  phase	45	7	3.1503890311736	0.0595399188092016	1677;2620;3008;3146;63967;836;840	44	0.673583109744961
reactome	Aquaporin-mediated transport	36	4	2.59170654281061	0.166441136671177	108;2778;2782;2788	14	NA
reactome	Arachidonic acid metabolism	48	5	2.74106610914272	0.121786197564276	1545;1579;2166;239;5321	45	0.673583109744961
reactome	ARMS-mediated activation	219	104	2.1771374854805	0.30446549391069	10142;10213;10718;10818;115727;1398;143471;1445;152559;161742;1839;1843;1846;1956;200734;2064;2065;221002;2244;2246;2247;2251;2254;2255;2263;2266;22821;22866;26281;283455;2885;2903;2904;3084;3559;3560;3567;3568;3690;3717;3845;409;4140;4296;4684;4747;4914;5155;53358;54518;54756;5515;5519;5526;5528;5529;5594;5595;5604;5605;5682;5686;5688;5689;5695;5696;5711;5713;5715;5719;5747;57731;5786;5922;5923;6654;6709;6710;6711;673;7010;7311;7314;7316;7450;7529;801;805;8074;815;8315;84078;8437;8649;8682;88;8817;8844;9365;9462;9491;9542;9693;9978	46	NA
reactome	Asparagine N-linked glycosylation	151	17	2.35401813719851	0.238159675236807	10427;1075;2153;23243;2890;4124;4245;4905;5265;55741;57134;6811;7039;83696;8775;90411;9632	47	0.747040000672842
