pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
Acute myeloid leukemia	52	3	2.52670714559996	0.637054631828979	0.11118435922473	6655;5295;3265	http://www.ncbi.nlm.nih.gov/gene/?term= 6655+5295+3265
Adherens junction	59	8	4.45053668300069	0.236104513064133	0.0700626929611479	2534;1496;87;1956;1499;10458;71;89	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+1496+87+1956+1499+10458+71+89
Adipocytokine signaling pathway	61	7	2.60294305429979	0.619477434679335	0.109634756481464	32;51422;3953;6794;2538;2180;1375	http://www.ncbi.nlm.nih.gov/gene/?term= 32+51422+3953+6794+2538+2180+1375
Adrenergic signaling in cardiomyocytes	139	17	5.22262036952295	0.121615201900238	0.0542976373427439	816;492;5523;5527;2778;5594;9252;778;2770;468;817;5295;818;107;5568;154;6331	http://www.ncbi.nlm.nih.gov/gene/?term= 816+492+5523+5527+2778+5594+9252+778+2770+468+817+5295+818+107+5568+154+6331
African trypanosomiasis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Alanine, aspartate and glutamate metabolism	30	4	2.48711084540006	0.646555819477435	0.11118435922473	790;259307;2752;8659	http://www.ncbi.nlm.nih.gov/gene/?term= 790+259307+2752+8659
Alcoholism	100	16	3.3101308659142	0.452731591448931	0.0946147161343059	84254;5566;2775;6655;1386;116444;2792;468;814;5569;111;2787;3265;51806;2903;116443	http://www.ncbi.nlm.nih.gov/gene/?term= 84254+5566+2775+6655+1386+116444+2792+468+814+5569+111+2787+3265+51806+2903+116443
Aldosterone-regulated sodium reabsorption	32	3	3.18774915907887	0.475534441805226	0.0963065858216742	5295;3667;3643	http://www.ncbi.nlm.nih.gov/gene/?term= 5295+3667+3643
Aldosterone synthesis and secretion	60	8	5.76292464720564	0.0717339667458432	0.0503283346128893	1386;817;818;3708;51305;5581;23236;5587	http://www.ncbi.nlm.nih.gov/gene/?term= 1386+817+818+3708+51305+5581+23236+5587
Allograft rejection	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
alpha-Linolenic acid metabolism	19	4	3.31458895897973	0.450356294536817	0.0946147161343059	8605;9415;255189;11145	http://www.ncbi.nlm.nih.gov/gene/?term= 8605+9415+255189+11145
Alzheimer's disease	10	2	1.84626091035016	NA	NA	5532;51806	http://www.ncbi.nlm.nih.gov/gene/?term= 5532+51806
Aminoacyl-tRNA biosynthesis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Amino sugar and nucleotide sugar metabolism	43	2	3.56051081096441	NA	NA	3101;51005	http://www.ncbi.nlm.nih.gov/gene/?term= 3101+51005
Amoebiasis	20	3	1.41900598263865	0.856057007125891	0.131382784107406	5295;3684;5293	http://www.ncbi.nlm.nih.gov/gene/?term= 5295+3684+5293
Amphetamine addiction	58	2	4.39878010248737	NA	NA	1386;817	http://www.ncbi.nlm.nih.gov/gene/?term= 1386+817
AMPK signaling pathway	87	10	4.65592960210273	0.195249406175772	0.0650104921680469	1080;23216;208;51422;2998;5170;5295;7248;3667;3643	http://www.ncbi.nlm.nih.gov/gene/?term= 1080+23216+208+51422+2998+5170+5295+7248+3667+3643
Amyotrophic lateral sclerosis (ALS)	32	3	1.79386121829022	0.795724465558195	0.125054246005007	4744;5532;6647	http://www.ncbi.nlm.nih.gov/gene/?term= 4744+5532+6647
Antigen processing and presentation	29	2	3.04994469886391	NA	NA	972;1508	http://www.ncbi.nlm.nih.gov/gene/?term= 972+1508
Apoptosis	81	6	4.50088079243076	0.228028503562945	0.0700626929611479	330;841;3656;836;8772;3556	http://www.ncbi.nlm.nih.gov/gene/?term= 330+841+3656+836+8772+3556
Arachidonic acid metabolism	56	2	5.23765890347135	NA	NA	255189;8529	http://www.ncbi.nlm.nih.gov/gene/?term= 255189+8529
Arginine and proline metabolism	45	4	3.73655358625251	0.361995249406176	0.0868462761983851	2805;29920;8659;112817	http://www.ncbi.nlm.nih.gov/gene/?term= 2805+29920+8659+112817
Arginine biosynthesis	19	2	2.1000421759235	NA	NA	435;445	http://www.ncbi.nlm.nih.gov/gene/?term= 435+445
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Ascorbate and aldarate metabolism	13	3	4.35345944782836	0.248931116389549	0.0707929686872694	7358;7363;7366	http://www.ncbi.nlm.nih.gov/gene/?term= 7358+7363+7366
Asthma	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Autoimmune thyroid disease	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Axon guidance	100	15	6.22390967707704	0.0465558194774347	0.0470353283481519	2534;25791;387;6093;5362;2932;1808;25;3983;2051;2045;5879;2041;29984;2242	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+25791+387+6093+5362+2932+1808+25+3983+2051+2045+5879+2041+29984+2242
Bacterial invasion of epithelial cells	55	16	2.83279713910598	0.567695961995249	0.106211673046186	9564;998;1785;2017;5829;8976;2549;5295;1793;9844;1398;5747;391;71;6714;10093	http://www.ncbi.nlm.nih.gov/gene/?term= 9564+998+1785+2017+5829+8976+2549+5295+1793+9844+1398+5747+391+71+6714+10093
Basal cell carcinoma	43	3	4.8076120866864	0.171496437054632	0.0582470883348077	7478;7481;8326	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7481+8326
B cell receptor signaling pathway	54	2	3.71717844199697	NA	NA	8915;10892	http://www.ncbi.nlm.nih.gov/gene/?term= 8915+10892
beta-Alanine metabolism	26	2	2.04554718360644	NA	NA	54498;223	http://www.ncbi.nlm.nih.gov/gene/?term= 54498+223
Bile secretion	27	3	3.16381074631263	0.482185273159145	0.0966570664750854	1080;5566;107	http://www.ncbi.nlm.nih.gov/gene/?term= 1080+5566+107
Biotin metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Bladder cancer	26	2	0.808144707960146	NA	NA	5594;1612	http://www.ncbi.nlm.nih.gov/gene/?term= 5594+1612
