pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
Focal adhesion	201	28	8.415648229	0.004750594	0.039996028	3381;2324;6093;1286;2932;3693;6655;85366;2335;10000;63923;5880;2318;1289;10298;7409;8515;5295;1956;1793;7791;1285;5747;255631;3265;29895;7058;89	http://www.ncbi.nlm.nih.gov/gene/?term= 3381+2324+6093+1286+2932+3693+6655+85366+2335+10000+63923+5880+2318+1289+10298+7409+8515+5295+1956+1793+7791+1285+5747+255631+3265+29895+7058+89
Purine metabolism	153	4	8.37339595	0.004750594	0.039996028	30834;115024;107;5139	http://www.ncbi.nlm.nih.gov/gene/?term= 30834+115024+107+5139
Rap1 signaling pathway	188	15	8.170130999	0.007125891	0.039996028	889;2324;2255;26281;10411;5335;5908;9771;5330;5295;1956;25780;107;3643;2248	http://www.ncbi.nlm.nih.gov/gene/?term= 889+2324+2255+26281+10411+5335+5908+9771+5330+5295+1956+25780+107+3643+2248
Calcium signaling pathway	161	21	7.658632303	0.011876485	0.039996028	492;85366;778;3356;84812;5335;2774;817;1956;774;818;3708;2776;107;1128;51806;2066;8912;553;777;6263	http://www.ncbi.nlm.nih.gov/gene/?term= 492+85366+778+3356+84812+5335+2774+817+1956+774+818+3708+2776+107+1128+51806+2066+8912+553+777+6263
ECM-receptor interaction	82	8	7.597011148	0.011876485	0.039996028	3381;1286;3693;2335;1289;3688;255631;3690	http://www.ncbi.nlm.nih.gov/gene/?term= 3381+1286+3693+2335+1289+3688+255631+3690
Proteoglycans in cancer	180	26	7.501627455	0.012826603	0.039996028	1634;960;7478;6093;2260;3693;2017;3710;5594;6655;3091;79923;7422;2335;5328;5335;2318;2064;817;1956;818;3688;288;22808;8326;6714	http://www.ncbi.nlm.nih.gov/gene/?term= 1634+960+7478+6093+2260+3693+2017+3710+5594+6655+3091+79923+7422+2335+5328+5335+2318+2064+817+1956+818+3688+288+22808+8326+6714
Phosphatidylinositol signaling system	81	6	7.364039645	0.014251781	0.039996028	8821;5335;51763;1609;55361;1040	http://www.ncbi.nlm.nih.gov/gene/?term= 8821+5335+51763+1609+55361+1040
Starch and sucrose metabolism	42	7	6.921647079	0.022327791	0.047035328	7358;2998;7363;3101;178;2990;7366	http://www.ncbi.nlm.nih.gov/gene/?term= 7358+2998+7363+3101+178+2990+7366
cAMP signaling pathway	182	13	6.736010597	0.027078385	0.047035328	1080;387;492;6093;778;2891;55811;817;818;107;5568;5139;1260	http://www.ncbi.nlm.nih.gov/gene/?term= 1080+387+492+6093+778+2891+55811+817+818+107+5568+5139+1260
Pyrimidine metabolism	96	3	6.665224204	0.029928741	0.047035328	30834;115024;377841	http://www.ncbi.nlm.nih.gov/gene/?term= 30834+115024+377841
HIF-1 signaling pathway	100	10	6.432035378	0.035629454	0.047035328	2033;3091;5335;5582;112399;1950;817;1956;3101;3643	http://www.ncbi.nlm.nih.gov/gene/?term= 2033+3091+5335+5582+112399+1950+817+1956+3101+3643
Circadian entrainment	90	10	6.411054347	0.036104513	0.047035328	4842;51655;55811;817;3708;107;2787;8912;6263;9722	http://www.ncbi.nlm.nih.gov/gene/?term= 4842+51655+55811+817+3708+107+2787+8912+6263+9722
Oxytocin signaling pathway	143	25	6.390896431	0.036579572	0.047035328	952;816;6093;5743;4660;2775;4637;5594;85366;5332;778;8605;5532;4772;817;5295;1956;818;3708;5578;107;255189;51806;5021;6263	http://www.ncbi.nlm.nih.gov/gene/?term= 952+816+6093+5743+4660+2775+4637+5594+85366+5332+778+8605+5532+4772+817+5295+1956+818+3708+5578+107+255189+51806+5021+6263
