pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
Acute myeloid leukemia	55	12	3.01598335649544	0.276155717761557	0.283768821132715	11040;2322;2885;3728;3815;5291;5467;595;6688;6777;861;862	http://www.ncbi.nlm.nih.gov/gene/?term= 11040+2322+2885+3728+3815+5291+5467+595+6688+6777+861+862
Adherens junction	59	10	3.64542485536982	0.116788321167883	0.186134794478494	1499;1500;29119;56288;5795;5797;5818;6714;7082;9855	http://www.ncbi.nlm.nih.gov/gene/?term= 1499+1500+29119+56288+5795+5797+5818+6714+7082+9855
Adipocytokine signaling pathway	63	9	2.99371687088195	0.279805352798054	0.283785055975734	2538;3551;3667;3953;4852;53632;6774;9021;92579	http://www.ncbi.nlm.nih.gov/gene/?term= 2538+3551+3667+3953+4852+53632+6774+9021+92579
Adrenergic signaling in cardiomyocytes	143	24	4.54308195092418	0.0206812652068127	0.0807553561461383	11069;114;1432;153;154;2771;2778;476;481;5519;5522;5523;5567;5578;5594;6262;6546;6548;775;776;785;817;9252;9586	http://www.ncbi.nlm.nih.gov/gene/?term= 11069+114+1432+153+154+2771+2778+476+481+5519+5522+5523+5567+5578+5594+6262+6546+6548+775+776+785+817+9252+9586
African trypanosomiasis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Alanine, aspartate and glutamate metabolism	30	2	2.65384295680684	NA	NA	2572;2746	http://www.ncbi.nlm.nih.gov/gene/?term= 2572+2746
Alcoholism	136	2	2.84559478549005	NA	NA	9555;9734	http://www.ncbi.nlm.nih.gov/gene/?term= 9555+9734
Aldosterone-regulated sodium reabsorption	30	3	3.39302268939386	0.171532846715328	0.216733124951033	4306;476;6446	http://www.ncbi.nlm.nih.gov/gene/?term= 4306+476+6446
Aldosterone synthesis and secretion	60	6	3.3238496948593	0.186131386861314	0.216954688153804	23236;3708;5578;5587;817;9586	http://www.ncbi.nlm.nih.gov/gene/?term= 23236+3708+5578+5587+817+9586
Allograft rejection	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
alpha-Linolenic acid metabolism	21	2	2.96378554915856	NA	NA	5321;9415	http://www.ncbi.nlm.nih.gov/gene/?term= 5321+9415
Alzheimer's disease	12	2	1.85086287895559	NA	NA	5530;801	http://www.ncbi.nlm.nih.gov/gene/?term= 5530+801
Aminoacyl-tRNA biosynthesis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Amino sugar and nucleotide sugar metabolism	39	2	1.21865089979964	NA	NA	3101;5372	http://www.ncbi.nlm.nih.gov/gene/?term= 3101+5372
Amoebiasis	21	2	2.42559662996965	NA	NA	23236;9630	http://www.ncbi.nlm.nih.gov/gene/?term= 23236+9630
Amphetamine addiction	58	2	2.85099883320907	NA	NA	817;9586	http://www.ncbi.nlm.nih.gov/gene/?term= 817+9586
AMPK signaling pathway	88	18	3.38046941669045	0.172749391727494	0.216733124951033	1080;1994;200186;23216;2538;31;3172;3991;5105;53632;5468;57521;595;6885;7249;90993;92579;9586	http://www.ncbi.nlm.nih.gov/gene/?term= 1080+1994+200186+23216+2538+31+3172+3991+5105+53632+5468+57521+595+6885+7249+90993+92579+9586
Amyotrophic lateral sclerosis (ALS)	33	5	2.44781812731577	0.491484184914842	0.374544072623492	1432;4217;4741;4747;5608	http://www.ncbi.nlm.nih.gov/gene/?term= 1432+4217+4741+4747+5608
Antigen processing and presentation	35	3	1.52948196096238	0.85036496350365	0.523656779085658	3111;3113;920	http://www.ncbi.nlm.nih.gov/gene/?term= 3111+3113+920
Apoptosis	81	18	2.60546002607542	0.417274939172749	0.354208275679353	10000;330;355;3551;3556;3656;4790;5291;5530;5534;572;598;836;839;843;8737;8772;9020	http://www.ncbi.nlm.nih.gov/gene/?term= 10000+330+355+3551+3556+3656+4790+5291+5530+5534+572+598+836+839+843+8737+8772+9020
Arachidonic acid metabolism	58	4	3.29012840394251	0.190997566909976	0.219352783995566	1579;239;255189;5321	http://www.ncbi.nlm.nih.gov/gene/?term= 1579+239+255189+5321
Arginine and proline metabolism	43	2	2.55456146346033	NA	NA	2628;4842	http://www.ncbi.nlm.nih.gov/gene/?term= 2628+4842
Arginine biosynthesis	18	2	2.44345988895478	NA	NA	445;4842	http://www.ncbi.nlm.nih.gov/gene/?term= 445+4842
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Ascorbate and aldarate metabolism	19	3	0.635583750543793	0.975669099756691	0.572873817085863	7358;7363;7365	http://www.ncbi.nlm.nih.gov/gene/?term= 7358+7363+7365
Asthma	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Autoimmune thyroid disease	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Axon guidance	99	15	4.03454933161679	0.0681265206812652	0.166261027359697	137970;1630;1948;2045;2047;2048;2051;25;25791;285220;4690;5063;5530;5879;90249	http://www.ncbi.nlm.nih.gov/gene/?term= 137970+1630+1948+2045+2047+2048+2051+25+25791+285220+4690+5063+5530+5879+90249
