pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
Olfactory transduction	321	45	14.5623174	0.004169148	0.321134576	390892;286362;409;127059;341276;390190;441608;391109;26737;125958;219482;126541;390058;119682;119694;119695;286365;219960;196335;120796;390081;390077;81309;390079;390083;26333;338755;403278;401992;283159;343173;26493;390038;401993;138803;390321;390078;346517;143502;26341;403273;26648;282763;401427;390167	http://www.ncbi.nlm.nih.gov/gene/?term= 390892+286362+409+127059+341276+390190+441608+391109+26737+125958+219482+126541+390058+119682+119694+119695+286365+219960+196335+120796+390081+390077+81309+390079+390083+26333+338755+403278+401992+283159+343173+26493+390038+401993+138803+390321+390078+346517+143502+26341+403273+26648+282763+401427+390167
Purine metabolism	157	6	11.80565615	0.024419297	0.538259372	30834;2986;30833;115024;5139;246721	http://www.ncbi.nlm.nih.gov/gene/?term= 30834+2986+30833+115024+5139+246721
Pyrimidine metabolism	98	4	11.46316997	0.028588446	0.538259372	30833;115024;377841;246721	http://www.ncbi.nlm.nih.gov/gene/?term= 30833+115024+377841+246721
Retinol metabolism	51	3	11.27994894	0.029779631	0.538259372	1592;158835;7363	http://www.ncbi.nlm.nih.gov/gene/?term= 1592+158835+7363
Tight junction	122	6	9.025931777	0.085765337	0.538259372	2017;7082;9073;5580;89;137075	http://www.ncbi.nlm.nih.gov/gene/?term= 2017+7082+9073+5580+89+137075
Jak-STAT signaling pathway	140	8	8.956310499	0.089934485	0.538259372	3595;9466;7297;5777;3597;3572;3578;122809	http://www.ncbi.nlm.nih.gov/gene/?term= 3595+9466+7297+5777+3597+3572+3578+122809
Proteoglycans in cancer	185	25	8.499745305	0.110184634	0.538259372	960;7478;5566;7479;2260;3693;2017;7481;7023;5595;5777;79923;2335;5328;1026;4609;2247;2064;818;3708;288;3673;5747;8326;6714	http://www.ncbi.nlm.nih.gov/gene/?term= 960+7478+5566+7479+2260+3693+2017+7481+7023+5595+5777+79923+2335+5328+1026+4609+2247+2064+818+3708+288+3673+5747+8326+6714
Circadian entrainment	91	6	8.251399131	0.126861227	0.538259372	5595;51655;2792;818;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 5595+51655+2792+818+94235+2787
prolactin signaling pathway	89	8	8.143442094	0.12983919	0.538259372	2534;5566;2792;23533;818;94235;2787;1132	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+5566+2792+23533+818+94235+2787+1132
Steroid biosynthesis	17	3	8.126012728	0.12983919	0.538259372	1595;6307;7108	http://www.ncbi.nlm.nih.gov/gene/?term= 1595+6307+7108
Morphine addiction	52	4	8.115074364	0.130434783	0.538259372	5566;2792;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+2792+94235+2787
Steroid hormone biosynthesis	46	3	8.025907089	0.138177487	0.538259372	7363;1584;3283	http://www.ncbi.nlm.nih.gov/gene/?term= 7363+1584+3283
Signaling pathways regulating pluripotency of stem cells	108	12	7.988349915	0.139964264	0.538259372	7478;7479;2932;7481;1855;79923;9314;4609;6774;6657;8326;5462	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+2932+7481+1855+79923+9314+4609+6774+6657+8326+5462
Wnt signaling pathway	125	17	7.757004467	0.156045265	0.538259372	816;7478;5566;7479;6932;7481;8312;1855;22943;818;5331;11197;7484;4041;64321;1499;8326	http://www.ncbi.nlm.nih.gov/gene/?term= 816+7478+5566+7479+6932+7481+8312+1855+22943+818+5331+11197+7484+4041+64321+1499+8326
