pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
2-LTR circle formation	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
3' -UTR-mediated translational regulation	96	5	11.1895512181764	0.0266064257028112	0.405977115148353	6217;6143;23521;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 6217+6143+23521+27335+6139
Abacavir metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transmembrane transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transport and metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC-family proteins mediated transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC transporters in lipid homeostasis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abortive elongation of HIV-1 transcript in the absence of Tat	22	2	1.63236062172292	NA	NA	2962;25920	http://www.ncbi.nlm.nih.gov/gene/?term= 2962+25920
Acetylcholine Binding And Downstream Events	11	2	0.93296839950353	NA	NA	1143;1144	http://www.ncbi.nlm.nih.gov/gene/?term= 1143+1144
Acetylcholine Neurotransmitter Release Cycle	14	2	2.80506568481834	NA	NA	6804;8541	http://www.ncbi.nlm.nih.gov/gene/?term= 6804+8541
Acetylcholine regulates insulin secretion	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Acrosome Reaction	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activated NOTCH1 Transmits Signal to the Nucleus	29	2	2.47853568237118	NA	NA	7314;54492	http://www.ncbi.nlm.nih.gov/gene/?term= 7314+54492
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	17	2	2.74732408886262	NA	NA	5585;8349	http://www.ncbi.nlm.nih.gov/gene/?term= 5585+8349
Activated point mutants of FGFR2	16	3	4.53649352879078	0.409638554216867	0.422602426631401	2263;2255;26281	http://www.ncbi.nlm.nih.gov/gene/?term= 2263+2255+26281
activated TAK1 mediates p38 MAPK activation	16	3	1.89859591939615	0.818273092369478	0.546557265770386	5606;8767;3656	http://www.ncbi.nlm.nih.gov/gene/?term= 5606+8767+3656
Activated TLR4 signalling	110	7	4.42088971499338	0.423192771084337	0.433120630118696	330;6416;7187;3656;114609;7314;3665	http://www.ncbi.nlm.nih.gov/gene/?term= 330+6416+7187+3656+114609+7314+3665
Activation and oligomerization of BAK protein	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of AMPA receptors	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	70	5	5.12089678820732	0.346385542168675	0.405977115148353	5721;4751;5695;5710;4085	http://www.ncbi.nlm.nih.gov/gene/?term= 5721+4751+5695+5710+4085
Activation of ATR in response to replication stress	37	2	6.38264868474837	NA	NA	6119;5883	http://www.ncbi.nlm.nih.gov/gene/?term= 6119+5883
Activation of BAD and translocation to mitochondria	15	2	1.08790885973074	NA	NA	572;7534	http://www.ncbi.nlm.nih.gov/gene/?term= 572+7534
