pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
2-LTR circle formation	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
3' -UTR-mediated translational regulation	87	5	2.69219967160667	0.434747798238591	0.273952118333935	23521;6132;6169;6189;8665	http://www.ncbi.nlm.nih.gov/gene/?term= 23521+6132+6169+6189+8665
Abacavir metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transmembrane transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transport and metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC-family proteins mediated transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC transporters in lipid homeostasis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abortive elongation of HIV-1 transcript in the absence of Tat	21	2	1.46459918193427	NA	NA	2963;9150	http://www.ncbi.nlm.nih.gov/gene/?term= 2963+9150
Acetylcholine Binding And Downstream Events	12	2	1.66795162920161	NA	NA	1143;1145	http://www.ncbi.nlm.nih.gov/gene/?term= 1143+1145
Acetylcholine Neurotransmitter Release Cycle	14	2	1.99701988918352	NA	NA	6857;8499	http://www.ncbi.nlm.nih.gov/gene/?term= 6857+8499
Acetylcholine regulates insulin secretion	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Acrosome Reaction	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activated NOTCH1 Transmits Signal to the Nucleus	26	2	2.04531708571388	NA	NA	28514;4851	http://www.ncbi.nlm.nih.gov/gene/?term= 28514+4851
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	46	2	2.38666188675989	NA	NA	367;8365	http://www.ncbi.nlm.nih.gov/gene/?term= 367+8365
Activated point mutants of FGFR2	16	2	2.95984042126199	NA	NA	2255;2263	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+2263
activated TAK1 mediates p38 MAPK activation	17	2	2.06051215002594	NA	NA	10454;6885	http://www.ncbi.nlm.nih.gov/gene/?term= 10454+6885
Activated TLR4 signalling	111	14	3.59180346189329	0.165732586068855	0.210506981677624	1432;23643;3146;351;3551;4790;5519;5594;5608;5781;6195;6885;7334;9252	http://www.ncbi.nlm.nih.gov/gene/?term= 1432+23643+3146+351+3551+4790+5519+5594+5608+5781+6195+6885+7334+9252
Activation and oligomerization of BAK protein	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of AMPA receptors	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	64	2	2.86971944316586	NA	NA	5690;701	http://www.ncbi.nlm.nih.gov/gene/?term= 5690+701
Activation of ATR in response to replication stress	36	2	2.98485700945693	NA	NA	5001;63967	http://www.ncbi.nlm.nih.gov/gene/?term= 5001+63967
Activation of BAD and translocation to mitochondria	14	2	1.70908854683385	NA	NA	5534;7531	http://www.ncbi.nlm.nih.gov/gene/?term= 5534+7531
Activation of BH3-only proteins	14	2	1.70908854683385	NA	NA	5534;7531	http://www.ncbi.nlm.nih.gov/gene/?term= 5534+7531
Activation of BID and translocation to mitochondria	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of BIM and translocation to mitochondria	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of BMF and translocation to mitochondria	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of C3 and C5	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activation of CaMK IV	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
