pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
G alpha (i) signalling events	208	5	12.88049147	0.010739103	0.40519721	5539;94235;117579;2787;1132	http://www.ncbi.nlm.nih.gov/gene/?term= 5539+94235+117579+2787+1132
Olfactory Signaling Pathway	291	32	12.88779172	0.010739103	0.40519721	2792;127059;283297;341276;390190;441608;391109;125958;390174;126541;119695;135924;196335;390081;390077;390067;390079;26333;338755;403278;343173;26493;390038;138803;390078;346517;143502;26341;26648;282763;390197;390167	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+127059+283297+341276+390190+441608+391109+125958+390174+126541+119695+135924+196335+390081+390077+390067+390079+26333+338755+403278+343173+26493+390038+138803+390078+346517+143502+26341+26648+282763+390197+390167
Eukaryotic Translation Initiation	103	5	12.64244179	0.012634239	0.40519721	51121;6217;6143;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 51121+6217+6143+27335+6139
Formation of a pool of free 40S subunits	86	5	12.64244179	0.012634239	0.40519721	51121;6217;6143;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 51121+6217+6143+27335+6139
GTP hydrolysis and joining of the 60S ribosomal subunit	96	5	12.64244179	0.012634239	0.40519721	51121;6217;6143;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 51121+6217+6143+27335+6139
Transmission across Chemical Synapses	192	8	12.50030577	0.013897663	0.40519721	64130;10142;2792;818;10369;94235;10815;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 64130+10142+2792+818+10369+94235+10815+2787
Translation	133	4	12.40420708	0.015161087	0.40519721	6217;6143;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 6217+6143+27335+6139
DNA Repair	260	12	12.36118727	0.015792798	0.40519721	29089;51720;4683;6119;5887;10038;8290;201254;5883;378708;2187;10445	http://www.ncbi.nlm.nih.gov/gene/?term= 29089+51720+4683+6119+5887+10038+8290+201254+5883+378708+2187+10445
Signaling by Wnt	262	17	12.26473609	0.01642451	0.40519721	7478;7479;7481;5721;1855;22943;7474;2792;324;5695;6934;11197;123169;94235;8290;4920;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+7481+5721+1855+22943+7474+2792+324+5695+6934+11197+123169+94235+8290+4920+2787
Formation of the beta-catenin:TCF transactivating complex	41	3	12.02183104	0.01958307	0.40519721	6932;123169;8290	http://www.ncbi.nlm.nih.gov/gene/?term= 6932+123169+8290
Neuronal System	269	10	11.70401736	0.021478206	0.40519721	64130;6506;10142;2792;1742;94235;51305;2787;8541;10052	http://www.ncbi.nlm.nih.gov/gene/?term= 64130+6506+10142+2792+1742+94235+51305+2787+8541+10052
L13a-mediated translational silencing of Ceruloplasmin expression	96	7	11.42449314	0.025268478	0.40519721	51121;6217;6143;23521;27335;6171;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 51121+6217+6143+23521+27335+6171+6139
3' -UTR-mediated translational regulation	96	5	11.18955122	0.027163613	0.40519721	6217;6143;23521;27335;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 6217+6143+23521+27335+6139
DNA Double-Strand Break Repair	131	5	11.06848912	0.029690461	0.40519721	51720;4683;6119;8290;5883	http://www.ncbi.nlm.nih.gov/gene/?term= 51720+4683+6119+8290+5883
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)	98	5	11.06848912	0.029690461	0.40519721	51720;4683;6119;8290;5883	http://www.ncbi.nlm.nih.gov/gene/?term= 51720+4683+6119+8290+5883
Homology Directed Repair	104	5	11.06848912	0.029690461	0.40519721	51720;4683;6119;8290;5883	http://www.ncbi.nlm.nih.gov/gene/?term= 51720+4683+6119+8290+5883
Generic Transcription Pathway	507	16	10.93901791	0.032217309	0.40519721	10155;374655;114026;91975;55634;7559;285267;79818;7625;65243;7633;163227;113835;284370;220992;90317	http://www.ncbi.nlm.nih.gov/gene/?term= 10155+374655+114026+91975+55634+7559+285267+79818+7625+65243+7633+163227+113835+284370+220992+90317
Interferon Signaling	164	6	10.59239921	0.038534428	0.40519721	5777;6772;117854;5580;11074;7726	http://www.ncbi.nlm.nih.gov/gene/?term= 5777+6772+117854+5580+11074+7726
TCF dependent signaling in response to WNT	175	12	10.39886425	0.042956412	0.40519721	7478;7479;5720;8312;22943;81847;5695;89780;11197;123169;1499;8290	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+5720+8312+22943+81847+5695+89780+11197+123169+1499+8290
Class I MHC mediated antigen processing & presentation	232	5	10.24134105	0.048010107	0.40519721	51665;51619;7317;5695;7314	http://www.ncbi.nlm.nih.gov/gene/?term= 51665+51619+7317+5695+7314
Chromatin modifying enzymes	198	5	10.15205788	0.049905243	0.40519721	11240;56950;10445;8356;121504	http://www.ncbi.nlm.nih.gov/gene/?term= 11240+56950+10445+8356+121504
Chromatin organization	198	5	10.15205788	0.049905243	0.40519721	11240;56950;10445;8356;121504	http://www.ncbi.nlm.nih.gov/gene/?term= 11240+56950+10445+8356+121504
Interferon gamma signaling	77	7	9.994525656	0.054958939	0.40519721	5777;6772;117854;3460;5580;11074;7726	http://www.ncbi.nlm.nih.gov/gene/?term= 5777+6772+117854+3460+5580+11074+7726
Infectious disease	265	32	9.577237891	0.072015161	0.40519721	6224;920;51121;51606;6882;6175;5720;5687;5721;6217;6143;8732;7852;2962;5682;25873;6210;5695;6921;5710;6132;6181;3932;9045;25920;2961;6235;7311;6171;6222;6173;6139	http://www.ncbi.nlm.nih.gov/gene/?term= 6224+920+51121+51606+6882+6175+5720+5687+5721+6217+6143+8732+7852+2962+5682+25873+6210+5695+6921+5710+6132+6181+3932+9045+25920+2961+6235+7311+6171+6222+6173+6139
G alpha (q) signalling events	164	5	9.368390432	0.07833228	0.40519721	2792;94235;222545;2787;553	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+94235+222545+2787+553
Gastrin-CREB signalling pathway via PKC and MAPK	384	5	9.368390432	0.07833228	0.40519721	2792;94235;222545;2787;553	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+94235+222545+2787+553
Antigen processing: Ubiquitination & Proteasome degradation	213	14	9.293292572	0.082122552	0.40519721	90293;996;51665;51619;5720;5721;7317;5695;136371;5710;8945;7314;148581;8139	http://www.ncbi.nlm.nih.gov/gene/?term= 90293+996+51665+51619+5720+5721+7317+5695+136371+5710+8945+7314+148581+8139
Interleukin receptor SHC signaling	224	14	9.102802951	0.089071383	0.40519721	2255;26281;3717;5721;5595;5777;28956;10142;5695;818;5710;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+3717+5721+5595+5777+28956+10142+5695+818+5710+115727+399473+4893
B Cell Activation	177	6	8.914492393	0.096651927	0.40519721	974;2255;26281;5777;50852;5728	http://www.ncbi.nlm.nih.gov/gene/?term= 974+2255+26281+5777+50852+5728
"Interleukin-3, 5 and GM-CSF signaling"	240	16	8.932232884	0.096651927	0.40519721	2255;5566;26281;5720;3717;5721;5595;5777;28956;10142;5695;818;5710;115727;4763;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5566+26281+5720+3717+5721+5595+5777+28956+10142+5695+818+5710+115727+4763+4893
Interleukin-2 signaling	229	14	8.824554185	0.10107391	0.40519721	2255;26281;5720;3717;5594;5721;5777;28956;10142;5695;818;5710;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+3717+5594+5721+5777+28956+10142+5695+818+5710+200734+4893
Organelle biogenesis and maintenance	298	7	8.740580098	0.103600758	0.40519721	54516;64949;29088;54148;84340;85476;54998	http://www.ncbi.nlm.nih.gov/gene/?term= 54516+64949+29088+54148+84340+85476+54998
Mitochondrial translation	85	5	8.718830293	0.10423247	0.40519721	54516;64949;29088;54148;85476	http://www.ncbi.nlm.nih.gov/gene/?term= 54516+64949+29088+54148+85476
G alpha (s) signalling events	116	7	8.607545594	0.109286166	0.40519721	2778;4159;2792;94235;117579;5139;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 2778+4159+2792+94235+117579+5139+2787
RHO GTPase Effectors	228	32	8.599664497	0.109286166	0.40519721	1535;387;5527;2017;4637;64130;1855;644150;11130;5585;151648;6249;1742;10810;5879;10499;1060;5058;220134;3798;653361;29941;11243;151246;699;378708;391;55920;71;8349;124056;57591	http://www.ncbi.nlm.nih.gov/gene/?term= 1535+387+5527+2017+4637+64130+1855+644150+11130+5585+151648+6249+1742+10810+5879+10499+1060+5058+220134+3798+653361+29941+11243+151246+699+378708+391+55920+71+8349+124056+57591
Downstream signaling of activated FGFR1	292	21	8.542154208	0.111181301	0.40519721	816;2255;26281;5720;5721;5595;28956;5335;10142;153090;5695;2247;817;818;5710;50852;5580;115727;5728;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5721+5595+28956+5335+10142+153090+5695+2247+817+818+5710+50852+5580+115727+5728+200734+4893
Signaling by FGFR	299	23	8.54762285	0.111181301	0.40519721	816;2255;26281;5720;5594;5687;5721;5924;942;6711;28956;5335;10142;5695;818;5710;50852;5580;7314;115727;5728;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5594+5687+5721+5924+942+6711+28956+5335+10142+5695+818+5710+50852+5580+7314+115727+5728+399473+4893
Signaling by FGFR2	298	26	8.503048238	0.113076437	0.40519721	816;2255;26281;5720;5594;5721;6711;28956;5335;10142;5682;1742;153090;5695;2247;6233;818;5710;2905;50852;5580;115727;5728;6712;3265;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5594+5721+6711+28956+5335+10142+5682+1742+153090+5695+2247+6233+818+5710+2905+50852+5580+115727+5728+6712+3265+399473
Signaling by SCF-KIT	291	21	8.499429018	0.113076437	0.40519721	4254;2255;26281;1215;5720;3717;5721;5595;5777;6711;28956;10142;5695;1848;5694;818;50852;145957;5728;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 4254+2255+26281+1215+5720+3717+5721+5595+5777+6711+28956+10142+5695+1848+5694+818+50852+145957+5728+399473+4893
Signaling by EGFR	318	17	8.490904106	0.114339861	0.40519721	2255;26281;5720;5711;5594;5721;28956;5335;10142;5695;818;5710;50852;5580;5728;3265;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5711+5594+5721+28956+5335+10142+5695+818+5710+50852+5580+5728+3265+200734
Cell Cycle Checkpoints	149	14	8.42328333	0.116866709	0.40519721	51720;5721;6119;1017;5695;1111;5710;993;84126;8290;5883;9134;11200;8349	http://www.ncbi.nlm.nih.gov/gene/?term= 51720+5721+6119+1017+5695+1111+5710+993+84126+8290+5883+9134+11200+8349
Mitochondrial translation elongation	80	4	8.408134186	0.116866709	0.40519721	64949;29088;54148;85476	http://www.ncbi.nlm.nih.gov/gene/?term= 64949+29088+54148+85476
Signaling by PDGF	323	32	8.455146187	0.116866709	0.40519721	2255;2260;26281;1286;5720;1299;5721;28956;5335;10142;5682;153090;5695;2247;1292;5295;818;673;5710;50852;5580;6774;7314;5581;2244;115727;256076;22821;7058;5154;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+2260+26281+1286+5720+1299+5721+28956+5335+10142+5682+153090+5695+2247+1292+5295+818+673+5710+50852+5580+6774+7314+5581+2244+115727+256076+22821+7058+5154+200734+4893
Signaling by FGFR4	295	36	8.386302642	0.117498421	0.40519721	5704;816;2255;5527;26281;5711;3717;5687;5721;5595;6711;28956;5335;5908;10142;153090;5695;6233;817;1956;818;5710;2264;2905;50852;6708;5580;145957;7314;2244;5728;3932;22821;2248;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 5704+816+2255+5527+26281+5711+3717+5687+5721+5595+6711+28956+5335+5908+10142+153090+5695+6233+817+1956+818+5710+2264+2905+50852+6708+5580+145957+7314+2244+5728+3932+22821+2248+399473+4893
FRS-mediated FGFR1 signaling	215	14	8.325167446	0.119393557	0.40519721	2255;26281;5720;5721;5595;6711;28956;10142;5695;818;5710;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5721+5595+6711+28956+10142+5695+818+5710+115727+399473+4893
Downstream signaling of activated FGFR4	292	32	8.293872643	0.12065698	0.40519721	2534;816;2255;5527;26281;5720;5711;5687;5721;5595;5924;28956;941;5335;10142;5682;153090;5695;5295;818;50852;5580;5702;7314;2266;2244;115727;6712;22821;2248;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+816+2255+5527+26281+5720+5711+5687+5721+5595+5924+28956+941+5335+10142+5682+153090+5695+5295+818+50852+5580+5702+7314+2266+2244+115727+6712+22821+2248+399473+4893
RAF/MAP kinase cascade	214	14	8.286154122	0.121288692	0.40519721	2255;369;5527;26281;5720;5721;28956;10142;5695;818;5710;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+369+5527+26281+5720+5721+28956+10142+5695+818+5710+115727+399473+4893
Prolonged ERK activation events	221	14	8.255869003	0.122552116	0.40519721	816;2255;26281;5720;5594;5721;28956;10142;5695;818;5710;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5594+5721+28956+10142+5695+818+5710+115727+399473+4893
