pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
DNA Repair	255	12	9.828840036	0.000950119	0.014209632	55183;51720;4683;51567;4437;10038;6117;64421;8290;5883;3981;404672	http://www.ncbi.nlm.nih.gov/gene/?term= 55183+51720+4683+51567+4437+10038+6117+64421+8290+5883+3981+404672
Signaling by PDGF	318	32	9.684783395	0.000950119	0.014209632	6710;2255;5527;26281;1286;1299;5155;5687;5721;2335;5335;10142;3845;7094;1950;2064;1292;817;5295;1956;818;25780;50852;5580;1285;115727;6712;2066;2903;7058;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 6710+2255+5527+26281+1286+1299+5155+5687+5721+2335+5335+10142+3845+7094+1950+2064+1292+817+5295+1956+818+25780+50852+5580+1285+115727+6712+2066+2903+7058+2248+200734
Interferon Signaling	159	12	9.528606794	0.001425178	0.014209632	6672;6772;117854;85363;817;818;51127;5580;4261;11074;3113;7726	http://www.ncbi.nlm.nih.gov/gene/?term= 6672+6772+117854+85363+817+818+51127+5580+4261+11074+3113+7726
NCAM signaling for neurite out-growth	246	19	9.585925829	0.001425178	0.014209632	2534;6710;5527;26281;1286;5721;10142;1463;8128;817;1956;4684;1285;115727;6712;3265;2248;8912;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+5527+26281+1286+5721+10142+1463+8128+817+1956+4684+1285+115727+6712+3265+2248+8912+200734
Signaling by ERBB4	290	25	9.446098684	0.001425178	0.014209632	2534;6710;5527;26281;5241;3717;5721;6387;6711;2335;10142;817;5295;1956;50852;8945;115727;6712;3265;5708;25970;2066;51741;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+5527+26281+5241+3717+5721+6387+6711+2335+10142+817+5295+1956+50852+8945+115727+6712+3265+5708+25970+2066+51741+2248+200734
Signaling by FGFR	295	25	9.143906907	0.001900238	0.014209632	2534;6710;2255;5527;26281;5687;5721;2335;5335;10142;817;5295;1956;818;808;50852;5580;107;5581;115727;6712;3265;2066;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5687+5721+2335+5335+10142+817+5295+1956+818+808+50852+5580+107+5581+115727+6712+3265+2066+2248+200734
Downstream signaling of activated FGFR4	288	22	8.997808974	0.002375297	0.014209632	2534;6710;2255;5527;26281;5687;5721;2335;5335;10142;817;5295;1956;808;50852;107;115727;6712;2066;2248;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5687+5721+2335+5335+10142+817+5295+1956+808+50852+107+115727+6712+2066+2248+200734+4893
Interferon gamma signaling	75	4	9.024460952	0.002375297	0.014209632	6772;85363;11074;7726	http://www.ncbi.nlm.nih.gov/gene/?term= 6772+85363+11074+7726
Signaling by FGFR2	294	24	9.061031717	0.002375297	0.014209632	816;6710;2255;5527;26281;5594;5721;6711;2335;5335;10142;3845;817;5295;1956;818;50852;5580;5581;115727;6712;2066;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 816+6710+2255+5527+26281+5594+5721+6711+2335+5335+10142+3845+817+5295+1956+818+50852+5580+5581+115727+6712+2066+2248+200734
Signaling by VEGF	297	33	9.03286388	0.002375297	0.014209632	2534;1535;816;6093;6710;2255;5527;26281;3320;5687;5721;7422;6711;2335;79109;5335;10142;5879;7094;1950;2064;207;817;1956;818;1793;9844;115727;6712;3265;10458;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+1535+816+6093+6710+2255+5527+26281+3320+5687+5721+7422+6711+2335+79109+5335+10142+5879+7094+1950+2064+207+817+1956+818+1793+9844+115727+6712+3265+10458+2248+200734
Downstream signaling of activated FGFR2	288	18	8.897121495	0.002850356	0.014209632	6710;2255;5527;26281;2335;5335;10142;3845;817;5295;1956;818;808;50852;107;115727;6712;2248	http://www.ncbi.nlm.nih.gov/gene/?term= 6710+2255+5527+26281+2335+5335+10142+3845+817+5295+1956+818+808+50852+107+115727+6712+2248
Downstream signaling of activated FGFR3	288	24	8.879042983	0.002850356	0.014209632	2534;6710;2255;5527;26281;5687;5721;2335;5335;10142;817;1956;818;25780;808;50852;107;5581;115727;5728;6712;2248;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5687+5721+2335+5335+10142+817+1956+818+25780+808+50852+107+5581+115727+5728+6712+2248+200734+4893
Signaling by FGFR1	292	24	8.91929679	0.002850356	0.014209632	2534;6710;2255;5527;26281;5721;2335;5335;10142;817;1956;818;808;50852;5580;107;5581;115727;5728;6712;3265;2066;2248;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5721+2335+5335+10142+817+1956+818+808+50852+5580+107+5581+115727+5728+6712+3265+2066+2248+200734
VEGFA-VEGFR2 Pathway	289	32	8.816938152	0.002850356	0.014209632	2534;1535;2065;6093;6710;5527;26281;3320;5721;7422;6711;2335;5335;10142;5879;7094;817;5295;1956;818;1793;9844;5710;5580;115727;6712;10458;8877;2066;2248;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+1535+2065+6093+6710+5527+26281+3320+5721+7422+6711+2335+5335+10142+5879+7094+817+5295+1956+818+1793+9844+5710+5580+115727+6712+10458+8877+2066+2248+200734+4893
ARMS-mediated activation	215	15	8.668668542	0.003325416	0.014209632	2534;6710;2255;5527;26281;5721;2335;10142;817;1956;115727;6712;2248;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5721+2335+10142+817+1956+115727+6712+2248+200734+4893
DAP12 interactions	308	22	8.675027472	0.003325416	0.014209632	2534;6710;26281;5687;5721;2335;5335;10142;817;5295;1956;818;808;50852;107;5581;115727;6712;2066;2248;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+26281+5687+5721+2335+5335+10142+817+5295+1956+818+808+50852+107+5581+115727+6712+2066+2248+399473+4893
DAP12 signaling	301	26	8.680790327	0.003325416	0.014209632	2534;6710;2255;5527;26281;5687;5721;6711;2335;5335;2069;10142;817;5295;1956;818;25780;808;50852;5580;107;5581;115727;6712;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+6710+2255+5527+26281+5687+5721+6711+2335+5335+2069+10142+817+5295+1956+818+25780+808+50852+5580+107+5581+115727+6712+200734+4893
