GENE	ES_A549
KRAS	-0.8
MYC	-0.69
MYB	-0.63
ACVR1C	-0.31
HS2ST1	0.33
ERBB4	-0.36
FUS	-0.61
LOC391162	0.42
LPXN	0.85
OVCH2	0.99
FRAP1	-0.74
CIRBP	-0.95
TMPRSS11B	-0.59
PRPF3	-0.74
BOC	0.84
CXCR7	0.32
RIC8A	0.87
OGT	0.34
RPL37	-0.86
NOPE	0.89
RPL34	-0.85
CDC2L1	-0.8
RAN	-0.78
NUP93	-0.88
RPL23A	-0.92
RPL5	-0.95
LRP2	-0.32
ARHGAP12	-0.35
ABCA13	0.94
ZNF702	-0.39
SHMT1	-0.95
ZNF137	-0.62
RASSF6	0.84
DHRS13	NA
ACSS1	NA
ATOH8	-0.78
TTLL3	NA
MTUS1	-0.86
LOC283155	NA
PSMA1	-0.78
PSMC3	-0.68
POLR2D	-0.72
OR5P2	NA
IARS2	-0.8
HNRPM	-0.9
COX7A2	0.72
RPS6	-0.77
ITGB7	0.74
SDK1	0.88
GJA5	0.43
CSK	NA
SH3TC2	NA
LOC340260	0.78
TUBB	-0.79
RAB11FIP4	0.85
SLC9A6	-0.52
MAGEC3	-0.65
FIP1L1	-0.84
FBXO4	NA
RPS14	-0.69
MKRN2	0.47
NUP153	0.79
RPS15A	-0.83
RPS17	-0.89
LCP1	0.94
A1BG	0.87
PTRF	-0.69
MLH1	-0.37
XRCC3	-0.52
CLEC2B	0.94
TXNL5	-0.45
EIF2B1	-0.78
RWDD4A	-0.56
GTF2E2	-0.94
OPHN1	0.4
CNBP	-0.78
TGIF2LX	-0.67
ZNF22	-0.67
PSMB2	-0.67
RPL6	-0.73
SFPQ	-0.84
ABCA5	NA
HNRPU	-0.72
TAS2R4	0.81
TTF2	0.79
MXRA5	0.89
GJA7	-0.29
PSIP1	-0.32
PPFIA3	0.4
C14ORF108	-0.65
MGAT3	NA
IFP38	0.92
BCHE	-0.75
ZFYVE16	NA
DNAJB2	-0.44
U2AF2	-0.71
UBQLNL	-0.94
RASL12	NA
CD40	-0.53
CBLL1	0.56
MCM6	-0.92
CSDE1	0.47
RPL32	-0.72
EIF3S4	-0.81
MALT1	0.82
RPS19	-0.87
EIF5B	-0.94
ZNF10	0.48
SRPK1	-0.67
ACO2	-0.69
BAG3	-0.56
UGT8	-0.46
PRKAR1B	0.66
NID2	-0.69
GJB3	-0.71
CFTR	NA
MLF1IP	-0.94
EPB41L4A	-0.67
SLC5A9	0.86
SLC24A3	0.54
RGS17	-0.79
EXDL2	0.45
IGSF1	0.89
RPA2	-0.76
CECR1	0.56
RPS25	-0.83
CLSTN3	0.91
GCA	-0.4
ATP6V1E2	0.71
PHTF1	0.51
LOC253289	-0.94
GLTSCR1	-0.45
CAPN13	0.64
CBFB	-0.46
LSM3	-0.76
HEXA	-0.46
GABRB3	NA
ZNF586	NA
SC4MOL	0.9
CHRM1	-0.6
SNRPB	-0.74
MLXIP	-0.66
ZFP37	-0.67
ZNF213	0.93
AIF1	-0.38
CDKAL1	0.45
INPP5E	-0.63
UCK1	0.9
TNK2	0.48
IL27	0.62
HMGN1	0.64
ETFA	-0.94
DNAH5	-0.69
DDB1	-0.66
BAI2	-0.66
BRAP	-0.84
ITGB4BP	-0.84
ECD	0.59
PRTN3	-0.68
SNRPG	-0.77
NBL1	0.81
ARCN1	-0.83
AGPAT1	NA
SGPP1	0.52
OVCA2	-0.39
AZGP1	0.49
NRGN	0.48
LOC393062	0.99
NHLRC2	-0.77
SET	0.55
TJP2	-0.65
PSMD2	-0.72
ATP1A4	0.74
XAB2	-0.76
RALY	-0.92
HPN	0.9
OAZ3	0.61
SF3A1	-0.83
KARS	-0.8
RPS7	-0.83
RPS9	-0.84
SPG21	0.47
IMMP1L	-0.46
GPX6	-0.6
RAGE	-0.48
HOXA5	-0.97
TRIM24	-0.79
CLK1	-0.56
ARHGDIG	-0.79
CRKL	-0.82
SV2B	0.53
RPL7	-0.81
TPST1	0.44
RNF38	NA
ALMS1	0.82
PCDHGA10	0.34
NHS	0.63
UGT2B11	NA
PLXNC1	-0.48
RAPGEF6	NA
RGS13	-0.93
OR51B2	0.6
HTR3B	-0.62
INS	0.59
CSNK1G2	-0.82
VSNL1	NA
NNMT	-0.56
PRKX	0.35
LOC113179	0.39
RBM17	-0.85
RPS11	-0.71
DPM1	0.73
CNTN6	0.85
MMP7	-0.38
IKBKAP	NA
YWHAZ	0.8
MCCC2	-0.55
RAB43	0.45
DEFA6	-0.46
IRF2BP2	-0.53
GCNT2	-0.69
ARID4A	-0.92
EEF1A1	-0.73
HIST1H2BG	-0.68
MAP4K4	0.63
LOC375449	0.78
ATP6V0D1	NA
NCSTN	-0.43
CDC2L5	-0.42
TPSG1	-0.43
KCNMA1	0.36
RAB11A	-0.64
LOC402200	0.39
HOXA10	-0.55
LOC283816	-0.57
EEF2	-0.77
SKIV2L2	-0.67
SKAP1	-0.86
SALL1	0.4
RBMS1	0.51
ASCC3L1	-0.82
ACSM1	0.51
GULP1	-0.47
PCBP4	NA
ZNF19	-0.53
ALDH9A1	-0.53
MTMR1	-0.47
BAAT	NA
CERKL	NA
CAPNS2	-0.75
KIR3DL3	0.88
PCDHGA1	NA
RY1	-0.67
VWCE	-0.92
TAS1R1	0.63
NHP2L1	-0.86
RPSA	-0.86
AKAP13	-0.81
CASP2	0.43
TESC	-0.66
GNG7	-0.54
KDELR3	-0.7
MGP	-0.76
RAB6C	0.28
PPFIBP1	0.39
DDX51	-0.89
OR10S1	0.57
RASEF	NA
PSMD1	-0.77
C6ORF85	-0.34
POLS	-0.41
SLC28A3	-0.62
TYMS	-0.48
MSGN1	-0.75
ATP6V1B2	NA
PDPK1	-0.66
ZNF24	-0.81
ALG10B	-0.74
LCK	-0.73
EPS8L3	0.41
IL28A	NA
ALDH16A1	0.87
TSC1	NA
SLC14A1	0.63
USP39	-0.84
SNAI2	-0.35
PDE3A	-0.58
GCM1	-0.45
FBXO18	-0.74
FBLN5	NA
ELMO1	-0.41
FAM33A	-0.92
SF3B1	-0.75
FOXD2	0.48
PSMD12	-0.81
SSX1	-0.72
COQ3	0.56
PAM	0.38
HADHB	-0.37
TAF1L	0.7
MYEF2	0.4
LZTS1	NA
RIPK3	-0.77
HLA-E	0.37
LOC389753	NA
HKDC1	-0.66
BAX	NA
NR3C1	-0.92
WDR77	-0.81
COPZ2	-0.67
CHAF1A	-0.61
CSE1L	-0.65
FLJ20105	-0.83
PSMB4	-0.77
SLC40A1	0.86
GDI1	NA
ZNF442	0.5
GGT1	0.35
CLEC4C	-0.91
ZFR	-0.74
DDX54	-0.61
MAPKAPK5	-0.61
ZNF439	-0.67
SLC26A6	-0.69
CCT6A	-0.67
TRPM1	0.71
NDUFA4L2	-0.81
OR6K6	NA
TPMT	0.62
LOC440046	0.48
FBXO7	0.65
FEV	-0.72
SCPEP1	0.88
PAPPA	0.28
TFF2	NA
PPP1R2P9	0.86
EIF5A	-0.71
ROPN1	-0.5
GPLD1	0.38
POLR1B	-0.91
EVX1	-0.62
SHPRH	-0.56
HOXC13	-0.67
PSMD11	-0.61
TPR	-0.71
PAH	NA
SNRPC	-0.76
RPS3	-0.64
ADH1B	NA
SERPINI1	-0.47
ZBTB3	0.51
IK	0.86
LAYN	-0.91
RBM39	-0.72
ATF7	-0.64
SPINT2	-0.66
IL21R	0.86
POU3F4	NA
PLCL2	0.67
SUOX	0.73
GLUD2	-0.41
RIPK4	NA
ODZ1	-0.48
FLJ10404	0.39
SMARCC1	-0.59
SLC7A3	-0.74
KCNK2	-0.49
TBRG1	-0.72
NDUFAB1	-0.77
OAZ2	-0.74
USP28	-0.74
KCNV1	0.35
NLN	NA
VGCNL1	-0.33
SERPINB8	0.85
TXNL1	-0.69
FLJ11151	NA
SMU1	-0.52
LOC440054	NA
PDE8B	-0.61
ZBTB7B	0.44
TRIM36	NA
HP	-0.9
ZNF606	-0.58
EIF3S10	-0.63
PRPF31	-0.76
PAPOLA	-0.85
CNTN1	0.86
TBC1D25	-0.65
AK5	NA
TAF2	-0.85
CPD	-0.63
PLXNB2	0.85
SREBF1	0.39
WDR44	-0.63
SORCS1	NA
GDNF	NA
PSMC4	-0.5
WDR54	-0.9
STK3	-0.72
CCNA2	-0.59
FLJ20323	0.29
RBM14	-0.73
GNA14	-0.65
PDHB	0.45
UGT1A5	0.44
NKIRAS1	0.72
DSCAML1	0.87
ADCK1	NA
PTK2	-0.69
CYP3A5	0.41
GAPDH	-0.79
PBX3	NA
CYP2R1	-0.5
RHOBTB3	-0.71
ACADL	-0.6
SMC2	-0.78
TICAM2	0.71
TLE2	-0.67
GRM5	NA
DGAT2L4	0.48
NOS2A	0.47
ACAD11	NA
CYP3A7	0.43
RB1	0.79
TGFBR1	-0.87
UBE2D1	-0.89
REXO2	-0.65
FMO3	-0.49
MED19	-0.58
MPHOSPH9	-0.6
AIRE	-0.62
CTSS	0.36
COPZ1	-0.62
ZNF426	0.7
RABEP1	-0.79
THRAP6	-0.87
CD1B	NA
PCDHGC4	0.84
PGM2L1	-0.44
ZNF294	-0.73
OTEX	NA
EIF2B5	-0.54
ABL1	NA
TNNI3K	0.32
ITGAL	-0.6
INPP5B	-0.62
OSCAR	-0.61
MAPKAP1	-0.93
RBPJ	-0.8
SLC7A10	0.48
CYP11B1	-0.38
CCNB3	-0.79
FETUB	0.38
HYPK	0.31
ZNF169	NA
LEPRE1	0.53
GTF3C3	-0.57
PDCD4	-0.89
CALB2	-0.75
RNGTT	NA
LOC392164	-0.59
STAT6	-0.51
RABL2B	-0.65
MBOAT1	0.25
OR2J2	-0.68
SRGAP2	0.84
ZNF675	-0.4
OR2T2	-0.46
LNPEP	0.76
BCL2L1	-0.8
CDKN1B	0.47
PTPN1	-0.6
CC2D1A	-0.48
PPIE	-0.63
M6PRBP1	-0.67
SIP1	-0.59
XBP1	-0.59
TIPARP	-0.75
ITGA2	-0.76
RALGDS	0.55
CHRND	0.34
TRIM13	-0.86
SPHK2	0.45
ART1	0.46
ZNF100	-0.71
PLOD3	-0.72
PARG	-0.89
CYB5R1	0.46
OR4D11	0.56
SLC36A2	0.75
RAD51	-0.68
OR52M1	0.57
PLAU	-0.4
ARL14	-0.43
PROP1	0.46
OPN1SW	-0.55
CST9L	-0.54
DNMT3A	NA
ZFYVE9	-0.52
CXCL12	-0.6
VPS29	-0.67
GUCA1C	-0.62
SMARCB1	-0.58
KCNMB1	-0.78
VPS41	0.39
SNRPE	-0.88
