pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
2-LTR circle formation	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
3' -UTR-mediated translational regulation	94	8	4.34985816171493	0.271835367312754	0.181554987472434	51121;6175;3646;6143;23521;6132;6124;27335	http://www.ncbi.nlm.nih.gov/gene/?term= 51121+6175+3646+6143+23521+6132+6124+27335
Abacavir metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transmembrane transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abacavir transport and metabolism	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC-family proteins mediated transport	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
ABC transporters in lipid homeostasis	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Abortive elongation of HIV-1 transcript in the absence of Tat	22	2	1.07740146019737	NA	NA	2962;25920	http://www.ncbi.nlm.nih.gov/gene/?term= 2962+25920
Acetylcholine Binding And Downstream Events	11	2	1.59453212051474	NA	NA	1135;1142	http://www.ncbi.nlm.nih.gov/gene/?term= 1135+1142
Acetylcholine Neurotransmitter Release Cycle	14	2	4.56330279299972	NA	NA	6857;8541	http://www.ncbi.nlm.nih.gov/gene/?term= 6857+8541
Acetylcholine regulates insulin secretion	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Acrosome Reaction	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
Activated NOTCH1 Transmits Signal to the Nucleus	29	3	2.9362719881323	0.533859775065805	0.220006221669489	23220;6233;3714	http://www.ncbi.nlm.nih.gov/gene/?term= 23220+6233+3714
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	17	3	3.02320350183215	0.514237855946399	0.215524911343736	23081;5585;354	http://www.ncbi.nlm.nih.gov/gene/?term= 23081+5585+354
Activated point mutants of FGFR2	16	2	5.79745976111839	NA	NA	2263;26281	http://www.ncbi.nlm.nih.gov/gene/?term= 2263+26281
activated TAK1 mediates p38 MAPK activation	16	2	3.68702308531404	NA	NA	5606;3656	http://www.ncbi.nlm.nih.gov/gene/?term= 5606+3656
Activated TLR4 signalling	109	11	3.9960723187292	0.335247666905958	0.195913047028582	330;5606;841;4790;1432;1386;3656;6233;23643;8945;6288	http://www.ncbi.nlm.nih.gov/gene/?term= 330+5606+841+4790+1432+1386+3656+6233+23643+8945+6288
Activation and oligomerization of BAK protein	0	NA	NA	NA	NA		http://www.ncbi.nlm.nih.gov/gene/?term= 
