db	pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez
nci	Posttranslational regulation of adherens junction stability and dissassembly	36	2	7.36662924	0.001074114	0.087013721	CABLES1;ROBO1
kegg	Small cell lung cancer	62	3	7.333332808	0.002265006	0.02612062	ITGA6;LAMA3;LAMA5
kegg	Glutamatergic synapse	79	6	7.540516385	0.002265006	0.02612062	HOMER2;ITPR1;PLA2G4D;PLA2G4E;PLCB2;PRKCB
reactome	SLC-mediated transmembrane transport	190	31	8.517986471	0.002406739	0.378971695	AAAS;GCK;HK2;HK3;NUP107;NUP205;NUPL2;SLC12A5;SLC12A6;SLC17A7;SLC1A3;SLC1A5;SLC24A4;SLC2A3;SLC2A6;SLC34A1;SLC38A2;SLC38A4;SLC4A2;SLC4A7;SLC5A1;SLC5A11;SLC5A9;SLC6A1;SLC6A3;SLC6A5;SLC7A1;SLC7A7;SLC9A4;SLC9A8;TPR
kegg	ECM-receptor interaction	78	10	7.040246852	0.003397508	0.02612062	COL27A1;COL6A1;ITGA2;ITGA6;ITGA8;LAMA3;LAMA5;LAMB4;SDC1;TNN
reactome	Interferon gamma signaling	60	4	7.991682698	0.003610108	0.378971695	IRF5;STAT1;TRIM17;TRIM6
reactome	Transport of inorganic cations/anions and amino acids/oligopeptides	81	8	7.730980265	0.003610108	0.378971695	SLC12A5;SLC1A3;SLC1A5;SLC24A4;SLC38A2;SLC4A2;SLC4A8;SLC9A4
nci	Beta1 integrin cell surface interactions	52	6	6.855045094	0.004296455	0.174027442	COL18A1;ITGA6;ITGA8;ITGB1;LAMA3;LAMA5
kegg	alpha-Linolenic acid metabolism	20	2	6.544019663	0.004530011	0.02612062	FADS2;PLA2G4D
kegg	Regulation of actin cytoskeleton	157	29	6.864887163	0.004530011	0.02612062	ACTB;ACTN1;ACTN2;ARHGEF1;ARHGEF7;BCAR1;DOCK1;GSN;IQGAP2;ITGA1;ITGA6;ITGA8;ITGB4;ITGB5;KRAS;LIMK2;MYH14;MYH9;MYL2;MYLK;PAK6;PDGFRB;PIK3CD;PIP5K1A;PPP1R12B;RAC1;ROCK2;SOS1;VAV3
kegg	Focal adhesion	178	54	6.594862254	0.004530011	0.02612062	ACTB;ACTN1;AKT1;CAPN2;COL1A1;COL27A1;COL2A1;COL4A2;COL4A3;COL6A3;DOCK1;EGF;FLT4;FN1;IGF1R;ILK;ITGA2;ITGA4;ITGA5;ITGA6;ITGA8;ITGB4;ITGB7;LAMA3;LAMA5;LAMB2;LAMB3;LAMC1;LAMC2;MAP2K1;MAPK1;MAPK8;MYL2;MYLK;MYLK2;PAK1;PAK6;PARVG;PDGFA;PDGFRB;PIK3R2;PPP1CC;RAC1;RAP1B;ROCK1;SHC1;SHC2;SHC4;THBS3;TLN2;TNC;TNN;VAV1;VTN
kegg	Long-term depression	50	4	6.366922204	0.00792752	0.03821439	GNAI2;IGF1R;PLA2G4D;PLA2G4E
reactome	Amino acid synthesis and interconversion (transamination)	18	2	7.288057177	0.008423586	0.378971695	GLUD1;GOT2
reactome	Glycerophospholipid biosynthesis	66	3	7.194039047	0.008423586	0.378971695	PLA2G2A;PLA2G4D;PLA2G4E
reactome	Collagen formation	65	6	7.14254847	0.008423586	0.378971695	COL18A1;COL27A1;COL28A1;COLGALT1;MMP9;P4HB
reactome	Muscle contraction	54	3	7.770710948	0.00872818	0.378971695	MYL2;TCAP;TTN
reactome	Hedgehog 'on' state	68	4	7.440870601	0.00872818	0.378971695	ITCH;PSMD5;PSME4;SPOP
reactome	Signaling by Hedgehog	107	10	7.834373704	0.00872818	0.378971695	DHH;GLI2;ITCH;P4HB;PSMD13;PSMD5;PSME4;RPGRIP1L;SPOP;TTC21B
nci	Regulation of nuclear beta catenin signaling and target gene transcription	54	4	6.941961403	0.010227273	0.276169685	CTNNB1;EP300;IGF2BP1;KLF4
kegg	Purine metabolism	140	13	7.478630023	0.010663507	0.03821439	ADCY8;ADCY9;DCK;ENTPD4;GUCY2C;GUK1;IMPDH1;NT5C2;PDE4B;POLR2A;POLR3F;TWISTNB;ZNRD1
kegg	FoxO signaling pathway	88	2	6.221856881	0.011325028	0.03821439	HOMER2;PIK3R3
