pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez
3' -UTR-mediated translational regulation	72	2	5.66713850175704	0.0892018779342723	0.378971695166488	EIF2S2;RPS3A
Abacavir transport and metabolism	0	NA	NA	NA	NA	
ABC-family proteins mediated transport	0	NA	NA	NA	NA	
ABC transporters in lipid homeostasis	0	NA	NA	NA	NA	
Abortive elongation of HIV-1 transcript in the absence of Tat	19	2	3.31777023908039	NA	NA	POLR2A;POLR2L
Acetylcholine Binding And Downstream Events	13	2	0.94504819195938	0.926056338028169	0.752326154722782	CHRNA3;CHRNA5
Acetylcholine Neurotransmitter Release Cycle	13	2	1.62829831888868	0.866002214839424	0.746171194613845	PPFIA3;UNC13B
Acetylcholine regulates insulin secretion	0	NA	NA	NA	NA	
Activated NOTCH1 Transmits Signal to the Nucleus	25	2	4.82686379571153	0.130922693266833	0.437817848559088	DTX1;ITCH
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	34	2	2.86876120739538	0.650055370985604	0.694740205027063	HIST1H3I;KDM4C
Activated point mutants of FGFR2	11	3	1.37020001911562	0.842358604091456	0.742844902939368	FGF10;FGF6;FGFR2
activated TAK1 mediates p38 MAPK activation	11	2	2.11788053437764	0.745305164319249	0.717318816047996	MAPK11;MAPKAPK2
Activated TLR4 signalling	80	18	1.7723068165991	0.747292418772563	0.717318816047996	ATF2;BIRC3;CASP8;CD14;CHUK;IRAK4;MAP2K1;MAP2K3;MAP3K8;MAPK1;MAPK11;MAPK8;MAPKAPK2;NOD2;PPP2CA;PPP2R1B;TAB1;TLR3
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	53	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Activation of ATR in response to replication stress	33	2	2.18350759367567	0.734741784037559	0.717318816047996	MCM10;ORC1
Activation of BAD and translocation to mitochondria	11	3	1.08011683434964	0.902527075812274	0.749362450230115	AKT1;AKT2;BAD
Activation of BH3-only proteins	11	3	1.08011683434964	0.902527075812274	0.749362450230115	AKT1;AKT2;BAD
Activation of Ca-permeable Kainate Receptor	0	NA	NA	NA	NA	
Activation of DNA fragmentation factor	0	NA	NA	NA	NA	
Activation of GABAB receptors	31	2	3.21367322381081	0.437655860349127	0.623785356991821	ADCY8;GNAL
Activation of gene expression by SREBF (SREBP)	37	4	5.93719674574019	0.0373044524669073	0.378971695166488	HMGCS1;MVK;NCOA1;SREBF2
Activation of G protein gated Potassium channels	17	2	1.04454226569608	0.935769656699889	0.75252264577362	GNG2;KCNJ5
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	12	3	-0.120699806070644	0.993355481727575	0.766645397684284	TBK1;TLR3;UBA52
Activation of Kainate Receptors upon glutamate binding	24	4	1.03293745372163	0.897755610972569	0.749362450230115	GNG2;GRIK3;GRIK4;GRIK5
Activation of Matrix Metalloproteinases	25	2	4.93913138669604	0.104693140794224	0.384353028118675	COL18A1;MMP9
Activation of NF-kappaB in B cells	48	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
Activation of Nicotinic Acetylcholine Receptors	13	2	0.94504819195938	0.926056338028169	0.752326154722782	CHRNA3;CHRNA5
